portName;portCode;cityName;domestic;countryName;countryCode;depPortCode
Çimkent;CIT;Şimkent;False;Kazakistan;KZ;DTM
Bişkek;FRU;Bişkek;False;Kırgızistan;KG;DTM
Oş;OSS;Oş;False;Kırgızistan;KG;DTM
Priştine;PRN;Priştine;False;Kosova;XK;DTM
Kuveyt;KWI;Kuveyt;False;Kuveyt;KW;DTM
Lefkoşa - Kuzey Kıbrıs;ECN;Ercan;False;Kuzey Kıbrıs Türk Cumhuriyeti;CP;DTM
Üsküp;SKP;Üsküp;False;Kuzey Makedonya;MK;DTM
Beyrut;BEY;Beyrut;False;Lübnan;LB;DTM
Hurgada;HRG;Hurghada;False;Mısır;EG;DTM
İskenderiye;HBE;İskenderiye;False;Mısır;EG;DTM
Kahire-SPX;SPX;Kahire;False;Mısır;EG;DTM
Şarm El-Şeyh;SSH;Şarm El Şeyh;False;Mısır;EG;DTM
Kişinev;RMO;Kishinev;False;Moldova;MD;DTM
Karachi;KHI;Karaçi Jinnah;False;Pakistan;PK;DTM
Cidde;JED;JEDDAH;False;Suudi Arabistan;SA;DTM
Dammam;DMM;Dammam King Fahd;False;Suudi Arabistan;SA;DTM
Medine;MED;Prince Mohammad Bin Abdulaziz - Medine;False;Suudi Arabistan;SA;DTM
Riyad;RUH;Riyad - Kral Halid;False;Suudi Arabistan;SA;DTM
Adana;ADA;Adana;True;Türkiye;TR;DTM
Alanya-Gazipaşa;GZP;Gazipaşa;True;Türkiye;TR;DTM
Amasya - Merzifon;MZH;Amasya Merzifon;True;Türkiye;TR;DTM
Ankara;ESB;Ankara Esenboğa;True;Türkiye;TR;DTM
Antalya;AYT;Antalya;True;Türkiye;TR;DTM
Balıkesir-Edremit;EDO;Balıkesir - Edremit;True;Türkiye;TR;DTM
Bingöl;BGG;Bingöl;True;Türkiye;TR;DTM
Dalaman;DLM;Dalaman;True;Türkiye;TR;DTM
Denizli;DNZ;Denizli;True;Türkiye;TR;DTM
Diyarbakır;DIY;Diyarbakır;True;Türkiye;TR;DTM
Elazığ;EZS;Elazığ;True;Türkiye;TR;DTM
Erzincan;ERC;Erzincan;True;Türkiye;TR;DTM
Erzurum;ERZ;Erzurum;True;Türkiye;TR;DTM
Gaziantep;GZT;Gaziantep;True;Türkiye;TR;DTM
İstanbul - Sabiha Gokcen;SAW;Istanbul - Sabiha Gökçen;True;Türkiye;TR;DTM
İzmir;ADB;İzmir Adnan Menderes;True;Türkiye;TR;DTM
Kars;KSY;Kars;True;Türkiye;TR;DTM
Kayseri;ASR;Kayseri;True;Türkiye;TR;DTM
Konya;KYA;Konya;True;Türkiye;TR;DTM
Malatya;MLX;Malatya;True;Türkiye;TR;DTM
Mardin;MQM;Mardin;True;Türkiye;TR;DTM
Muğla - Milas Bodrum;BJV;Milas - Bodrum;True;Türkiye;TR;DTM
Muş;MSR;Muş;True;Türkiye;TR;DTM
Ordu-Giresun;OGU;Ordu;True;Türkiye;TR;DTM
Rize - Artvin;RZV;Rize Artvin;True;Türkiye;TR;DTM
Samsun;SZF;Samsun;True;Türkiye;TR;DTM
