portName;portCode;cityName;domestic;countryName;countryCode
Istanbul Tümü;IST_SAW;Istanbul Tümü;True;Türkiye;TR
İstanbul - Sabiha Gokcen;SAW;Istanbul - Sabiha Gökçen;True;Türkiye;TR
İstanbul Havalimanı;IST;İstanbul;True;Türkiye;TR
İzmir;ADB;İzmir Adnan Menderes;True;Türkiye;TR
Kahramanmaraş;KCM;Kahramanmaraş;True;Türkiye;TR
Kars;KSY;Kars;True;Türkiye;TR
Kastamonu;KFS;Kastamonu;True;Türkiye;TR
Kayseri;ASR;Kayseri;True;Türkiye;TR
Konya;KYA;Konya;True;Türkiye;TR
Malatya;MLX;Malatya;True;Türkiye;TR
Mardin;MQM;Mardin;True;Türkiye;TR
Muğla - Milas Bodrum;BJV;Milas - Bodrum;True;Türkiye;TR
Muş;MSR;Muş;True;Türkiye;TR
Nevşehir;NAV;Nevşehir;True;Türkiye;TR
Ordu-Giresun;OGU;Ordu;True;Türkiye;TR
Rize - Artvin;RZV;Rize Artvin;True;Türkiye;TR
Samsun;SZF;Samsun;True;Türkiye;TR
Sinop;NOP;Sinop;True;Türkiye;TR
Sivas;VAS;Sivas;True;Türkiye;TR
Şanlıurfa;GNY;Şanlıurfa;True;Türkiye;TR
Tekirdağ - Çorlu;TEQ;Tekirdağ - Çorlu;True;Türkiye;TR
Trabzon;TZX;Trabzon;True;Türkiye;TR
Uşak;USQ;Uşak;True;Türkiye;TR
Van;VAN;Van;True;Türkiye;TR
Zafer/Kütahya-Afyon;KZR;Kütahya Zafer;True;Türkiye;TR
Kharkiv;HRK;Kharkiv;False;Ukrayna;UA
Kherson;KHE;Kherson;False;Ukrayna;UA
Kyiv Tümü;IEV_KBP;Kyiv Tümü;False;Ukrayna;UA
Kyiv-Borispol;KBP;Kiev Boryspil;False;Ukrayna;UA
Kyiv-Zhulyany;IEV;Kiev - Zhuliyany;False;Ukrayna;UA
Lviv;LWO;Lviv;False;Ukrayna;UA
Odesa;ODS;Odesa;False;Ukrayna;UA
Zaporijya;OZH;Zaporijya;False;Ukrayna;UA
Maskat;MCT;Maskat;False;Umman;OM
Amman;AMM;Amman Kraliçe Aliye;False;Ürdün;JO
Atina;ATH;Atina;False;Yunanistan;GR
